#Organism Name	Organism Groups		Size(Mb)	Chromosomes
"'Brassica napus' phytoplasma"	Bacteria	Terrabacteria group	0.743598	0
"'Candidatus Kapabacteria' thiocyanatum"	Bacteria	FCB group	3.27299	0
"'Catharanthus roseus' aster yellows phytoplasma"	Bacteria	Terrabacteria group	0.603949	1
"'Chrysanthemum coronarium' phytoplasma"	Bacteria	Terrabacteria group	0.739592	0
"'Echinacea purpurea' witches'-broom phytoplasma"	Bacteria	Terrabacteria group	0.545427	0
"'Osedax' symbiont bacterium Rs2_46_30_T18"	Bacteria	unclassified Bacteria	4.02183	0
"'Sphingomonas ginsengisoli' Hoang et al. 2012"	Bacteria	Proteobacteria	3.03639	0
"Abaca bunchy top virus"	Viruses	Other	0.006422	6
"Abalone herpesvirus Victoria/AUS/2009"	Viruses	Other	0.211518	1
"Abalone shriveling syndrome-associated virus"	Viruses	Other	0.034952	1
"Abditibacterium utsteinense"	Bacteria	Terrabacteria group	3.60633	0
"Abelson murine leukemia virus"	Viruses	Other	0.005894	1
"Abeoforma whisleri"	Eukaryota	Protists	101.554	0
"Abiotrophia"	Bacteria	Terrabacteria group	2.02078	0
"Abiotrophia defectiva"	Bacteria	Terrabacteria group	2.04344	0
"Abisko virus"	Viruses	Other	0.010187	1
"Abrus precatorius"	Eukaryota	Plants	347.23	0
"Absidia glauca"	Eukaryota	Fungi	48.7464	0
"Absidia repens"	Eukaryota	Fungi	47.4229	0
"Absiella"	Bacteria	Terrabacteria group	4.73933	0
"Absiella dolichum"	Bacteria	Terrabacteria group	2.19105	0
"Abutilon Brazil virus"	Viruses	Other	0.005271	2
"Abutilon golden mosaic virus"	Viruses	Other	0.002629	1
"Abutilon mosaic Bolivia virus"	Viruses	Other	0.005399	2
"Abutilon mosaic Brazil virus"	Viruses	Other	0.005282	2
"Abutilon mosaic virus"	Viruses	Other	0.005217	2
"Abutilon yellows virus"	Viruses	Other	0.001311	0
"Abyssibacter profundi"	Bacteria	Proteobacteria	3.74151	0
"Abyssicoccus albus"	Bacteria	Terrabacteria group	1.79618	0
"Acanthamoeba astronyxis"	Eukaryota	Protists	83.4325	0
"Acanthamoeba castellanii"	Eukaryota	Protists	42.0198	0
"Acanthamoeba castellanii mamavirus"	Viruses	Other	1.19169	1
"Acanthamoeba castellanii mimivirus"	Viruses	Other	1.18285	1
"Acanthamoeba comandoni"	Eukaryota	Protists	86.2147	0
"Acanthamoeba culbertsoni"	Eukaryota	Protists	55.5438	0
"Acanthamoeba divionensis"	Eukaryota	Protists	84.7694	0
"Acanthamoeba healyi"	Eukaryota	Protists	75.3182	0
"Acanthamoeba lenticulata"	Eukaryota	Protists	75.5694	0
"Acanthamoeba lugdunensis"	Eukaryota	Protists	99.4171	0
"Acanthamoeba mauritaniensis"	Eukaryota	Protists	106.836	0
"Acanthamoeba palestinensis"	Eukaryota	Protists	103.483	0
"Acanthamoeba pearcei"	Eukaryota	Protists	115.614	0
"Acanthamoeba polyphaga"	Eukaryota	Protists	49.3537	0
"Acanthamoeba polyphaga lentillevirus"	Viruses	Other	1.19343	1
"Acanthamoeba polyphaga mimivirus"	Viruses	Other	1.25866	1
"Acanthamoeba polyphaga moumouvirus"	Viruses	Other	1.02135	1
"Acanthamoeba quina"	Eukaryota	Protists	83.589	0
"Acanthamoeba rhysodes"	Eukaryota	Protists	75.8213	0
"Acanthamoeba royreba"	Eukaryota	Protists	79.5441	0
"Acanthaster planci"	Eukaryota	Animals	383.86	0
"Acanthisitta chloris"	Eukaryota	Animals	1035.88	0
"Acanthochaenus luetkenii"	Eukaryota	Animals	545.759	0
"Acanthocheilonema viteae"	Eukaryota	Animals	77.3509	0
"Acanthochromis polyacanthus"	Eukaryota	Animals	991.585	0
"Acanthocystis turfacea chlorella virus 1"	Viruses	Other	0.288047	1
"Acanthocystis turfacea Chlorella virus Br0604L"	Viruses	Other	0.295545	1
"Acanthocystis turfacea Chlorella virus Can0610SP"	Viruses	Other	0.306752	1
"Acanthocystis turfacea Chlorella virus Canal-1"	Viruses	Other	0.293004	1
"Acanthocystis turfacea Chlorella virus GM0701.1"	Viruses	Other	0.315239	1
"Acanthocystis turfacea Chlorella virus MN0810.1"	Viruses	Other	0.327406	1
"Acanthocystis turfacea Chlorella virus MO0605SPH"	Viruses	Other	0.289449	1
"Acanthocystis turfacea Chlorella virus NE-JV-2"	Viruses	Other	0.319583	1
"Acanthocystis turfacea Chlorella virus NE-JV-3"	Viruses	Other	0.298622	1
"Acanthocystis turfacea Chlorella virus NTS-1"	Viruses	Other	0.323517	1
"Acanthocystis turfacea Chlorella virus OR0704.3"	Viruses	Other	0.311647	1
"Acanthocystis turfacea Chlorella virus TN603.4.2"	Viruses	Other	0.32088	1
"Acanthocystis turfacea Chlorella virus WI0606"	Viruses	Other	0.289373	1
"Acaricomes phytoseiuli"	Bacteria	Terrabacteria group	2.41952	0
"Acaromyces ingoldii"	Eukaryota	Fungi	19.3301	0
"Acartia tonsa"	Eukaryota	Animals	989.164	0
"Acartia tonsa copepod circovirus"	Viruses	Other	0.00167	1
"Acaryochloris"	Bacteria	Terrabacteria group	7.87548	0
"Acaryochloris marina"	Bacteria	Terrabacteria group	8.3616	1
"Acaryochloris phage A-HIS1"	Viruses	Other	0.055653	1
"Acaryochloris phage A-HIS2"	Viruses	Other	0.057391	1
"Acaulopage tetraceros"	Eukaryota	Fungi	11.1768	0
"Accipiter nisus"	Eukaryota	Animals	1190.65	0
"Acetanaerobacterium elongatum"	Bacteria	Terrabacteria group	2.91621	0
"Acetatifactor muris"	Bacteria	Terrabacteria group	6.01365	0
"Acetitomaculum ruminis"	Bacteria	Terrabacteria group	3.08272	0
"Acetivibrio ethanolgignens"	Bacteria	Terrabacteria group	3.66025	0
"Acetoanaerobium noterae"	Bacteria	Terrabacteria group	2.81423	0
"Acetoanaerobium sticklandii"	Bacteria	Terrabacteria group	2.71546	1
"Acetobacter"	Bacteria	Proteobacteria	3.66419	1
"Acetobacter aceti"	Bacteria	Proteobacteria	3.72504	1
"Acetobacter ascendens"	Bacteria	Proteobacteria	2.99922	1
"Acetobacter cerevisiae"	Bacteria	Proteobacteria	3.32358	0
