Ecol 10    40625  490389     4641643 284
Ecol 15    4357730  4462229     4641638 137
Ecol 20    4507760  4542190     4641633 82
Ecol 25    4516906  4548910     4641628 75
Ecol 30    4522959  4553477     4641623 48
Ecol 35    4527791  4557129     4641618 42
Ecol 40    4531656  4559993     4641613 12
Bsub 10    47840  494580     4215597 333
Bsub 15    4015017  4092956     4215592 20
Bsub 20    4143882  4159409     4215587 10
Bsub 25    4147875  4161803     4215582 10
Bsub 30    4150401  4163405     4215577 10
Bsub 35    4152426  4164735     4215572 10
Bsub 40    4154179  4165907     4215567 10
Mgen 10    87099  192529     580067 122
Mgen 15    550161  562149     580062 39
Mgen 20    564076  569990     580057 31
Mgen 25    566174  571601     580052 20
Mgen 30    567957  572877     580047 11
Mgen 35    569477  573915     580042 8
Mgen 40    570718  574743     580037 7
Mpne 10    123499  292158     816385 58
Mpne 15    740058  766612     816380 36
Mpne 20    757793  778224     816375 15
Mpne 25    764947  783662     816370 15
Mpne 30    770702  787967     816365 14
Mpne 35    775615  791523     816360 14
Mpne 40    779921  794536     816355 14


